Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL
2022-03-20,0.061704,0.062296,0.060935,0.061549,1089969,79.83288166214997,81.8051791629028,-20.167118337850024,-944987.1352126003,2.850792908109552,100.82444070017785,1.3035535000082312,8,0,0,42191.40625,42241.164063,41004.757813,41247.824219,20127946682,2946.547607,2956.965576,2826.107422,2860.459229,12684727326,1.000505,1.000738,1.000375,1.000427,57837125338,399.919739,400.610718,386.766724,390.768372,1334193471,92.413666,92.435921,88.150459,88.614861,1286133603
2022-03-21,0.061549,0.061684,0.060984,0.061638,638991,81.69398907103827,81.6200680221739,-18.30601092896173,-389977.80949832185,1.9821310390469848,100.61962318887896,1.59886595898991,23,6,2,41246.132813,41454.410156,40668.042969,41077.996094,24615543271,2860.103271,2954.556641,2838.250488,2897.976563,15206116098,1.000417,1.000541,1.000297,1.000347,64828148834,390.738953,398.961731,386.561371,396.447815,1657341491,88.605003,91.011986,87.207642,88.757202,1598537312
2022-03-22,0.061638,0.063756,0.061577,0.063238,1190914,90.92183666316174,84.14956913211667,-9.07816333683826,234719.16250719377,5.766850643920387,102.57440517568983,5.673178149491172,22,6,2,41074.105469,43124.707031,40948.28125,42358.808594,32004652376,2897.77417,3040.382813,2892.544434,2973.131104,16830539230,1.00035,1.000707,1.000304,1.000337,71455738693,396.355591,409.642548,395.575745,404.314941,1795119554,88.741905,93.766808,88.182777,90.51297,1879747152
2022-03-23,0.063239,0.064702,0.063238,0.064222,1426170,92.78412507516543,88.46665026978849,-7.215874924834552,725695.7198842496,8.541779340183888,103.3771167342734,6.257445400397089,18,8,2,42364.378906,42893.507813,41877.507813,42892.957031,25242943069,2973.14502,3036.752197,2933.306641,3031.067139,16008767658,1.00035,1.000701,1.000261,1.000409,68181581345,404.327271,411.029572,398.855865,408.609772,1645651129,90.513931,96.051842,89.811462,95.102684,2099467745
2022-03-24,0.064225,0.065741,0.063845,0.065606,1541641,97.96195652173918,93.8893060866888,-2.038043478260815,2047799.23570704,9.072470032751994,104.46506359002122,9.727379160394706,22,5,5,42886.652344,44131.855469,42726.164063,43960.933594,31042992291,3031.060791,3118.387695,3012.32666,3108.062012,18070503166,1.000453,1.000667,1.000282,1.0006,77842904360,408.55426,416.505402,406.011566,414.126984,1831451218,95.020905,103.455795,94.065506,102.223694,3601646600
2022-03-25,0.065606,0.066481,0.064073,0.064579,1330499,74.17164584464962,88.30590914718475,-25.828354155350382,1276463.4367037108,6.758030120183159,102.15055950250375,9.145146024878311,24,3,5,43964.546875,44999.492188,43706.285156,44348.730469,30574413034,3108.448975,3183.958008,3087.490723,3106.671387,17030503831,1.000604,1.00063,1.000351,1.000406,64320675570,414.148254,421.153717,406.296051,410.811157,1678265707,102.238358,104.582962,97.318245,98.658104,2175497007
2022-03-26,0.064581,0.066015,0.064072,0.066007,771033,93.56328082563822,88.56562773067567,-6.4367191743617935,2041147.22002846,8.368084058446884,103.40391058076844,9.739147783005528,5,1,3,44349.859375,44735.996094,44166.273438,44500.828125,16950455995,3106.405273,3146.825439,3091.825439,3143.178955,8876420740,1.000423,1.00054,1.00033,1.000361,39871932342,410.816254,416.317535,407.981262,415.9198,1082240527,98.666748,103.193573,97.829681,101.764183,1282869612
2022-03-27,0.066007,0.069195,0.066007,0.069088,2211063,98.9380706629614,88.89099911108308,-1.0619293370386045,4103788.801584281,13.51768784607548,106.43473055473638,14.212031541882252,10,0,1,44505.355469,46827.546875,44437.292969,46820.492188,28160889722,3143.795654,3291.577637,3129.997803,3291.577637,13431866834,1.000361,1.000606,1.000268,1.000376,59103680528,415.931366,431.025574,412.382904,430.503265,1499505093,101.773697,107.298714,99.269096,107.084221,1572329892
2022-03-28,0.069087,0.071735,0.068847,0.068906,2411396,76.52476972865323,89.67537373908429,-23.475230271346778,1790919.3694513002,11.758790709744376,104.48308877364909,13.12756526021999,19,2,1,46821.851563,48086.835938,46690.203125,47128.003906,36362175703,3292.32251,3424.019287,3279.0271,3336.634521,20620450770,1.000365,1.000651,1.000226,1.000412,86217871591,430.546814,440.728394,428.565216,430.390869,2128699500,107.077965,113.175949,105.477875,106.465256,2877146388
2022-03-29,0.068905,0.072233,0.068614,0.069169,2680659,75.58371184954969,83.6821840803881,-24.416288150450313,-67542.4794019768,12.09808116167508,103.55150060845592,13.65077800233318,29,7,1,47100.4375,48022.289063,47100.4375,47465.730469,31397059069,3335.02124,3470.186279,3335.02124,3401.987793,19533323636,1.000406,1.000662,1.00028,1.00045,80447404974,430.07489,441.507538,430.07489,434.505676,1987696098,106.327988,115.275719,105.999191,111.710312,3052274877
2022-03-30,0.069168,0.074194,0.067782,0.073162,4713754,92.6010897619731,81.569857113392,-7.398910238026897,3128870.869319184,18.86789387317423,107.47444477321902,18.661606331906064,23,7,2,47456.898438,47655.148438,46746.210938,47062.664063,29333883962,3401.526123,3435.286133,3349.237061,3385.157959,15302506131,1.000428,1.000574,1.000219,1.000278,79713341087,434.429718,448.947174,427.692078,442.684845,2181737151,111.690254,124.605003,107.767258,120.699486,3908170428
2022-03-31,0.073162,0.079317,0.07316,0.073741,7567278,70.7618897802947,79.64889713060583,-29.2381102197053,-3010247.7939908733,19.635614393718164,106.50673060257672,19.507649423051987,22,6,1,47062.148438,47512.027344,45390.539063,45538.675781,33327427106,3385.289307,3435.128418,3272.93457,3281.642822,17685495686,1.000272,1.000734,1.0002,1.000304,90489848043,442.658875,451.96109,424.950287,428.916107,2632534284,120.681557,128.930115,120.19783,122.661461,4115229587
2022-04-01,0.073742,0.074872,0.071619,0.074655,3103260,74.63823305407463,79.33373753211414,-25.361766945925364,-321010.18562935246,18.054018153641792,105.6307708478194,21.293603470405692,15,11,4,45554.164063,46616.242188,44403.140625,46281.644531,38162644287,3282.576172,3467.555908,3223.891357,3449.552246,20982988937,1.000306,1.000639,1.000228,1.000358,92250507858,429.124023,446.796539,414.74939,446.604279,2718206274,122.736107,137.558411,118.78791,134.430939,4434807484
2022-04-02,0.074655,0.076197,0.073102,0.073334,2140077,67.45185507561743,70.95065930332892,-32.54814492438257,-2140248.501299794,14.18828438852729,102.2473633366862,18.97530744021545,6,2,0,46285.5,47028.28125,45782.511719,45868.949219,29336594194,3449.788574,3521.284668,3442.000244,3445.059326,23571556215,1.000369,1.000523,1.000276,1.000344,79916606735,446.844208,453.558472,436.776703,436.955353,2272901729,134.453583,143.02002,132.139191,132.198868,3394186456
2022-04-03,0.073334,0.073475,0.072365,0.073142,1081640,66.31756941035292,69.46921918001499,-33.682430589647076,-1707592.5012997938,11.486754260281074,101.16279299518484,15.66146936968278,6,2,0,45859.128906,47313.476563,45634.105469,46453.566406,25414397610,3444.810547,3573.960205,3421.259766,3522.833496,15333808649,1.000348,1.000681,1.000195,1.000273,67183096448,436.865814,455.228455,432.821716,450.348877,2128734028,132.241074,140.263702,131.226151,136.77533,2585967812
2022-04-04,0.073142,0.073142,0.069076,0.070872,1836048,52.395715896279626,62.05504679408332,-47.604284103720374,-1921632.528845288,9.744653834837962,97.64385179353442,10.354707109713187,13,7,3,46445.273438,46791.089844,45235.816406,46622.675781,32499785455,3522.36499,3535.148193,3422.000977,3521.241211,18209969743,1.000276,1.000451,1.000152,1.000228,79820905659,450.264557,450.432617,434.178009,447.524933,2248856403,136.760788,137.633514,126.865326,132.412628,2828117206
2022-04-05,0.070871,0.071554,0.06947,0.06947,1158842,38.75862926798933,52.490638191540626,-61.24137073201068,-3080474.528845288,5.246413259199794,95.655577761342,5.889705209889349,20,5,4,46624.507813,47106.140625,45544.808594,45555.992188,29640604055,3521.239746,3546.706787,3410.547607,3411.79248,16681503199,1.000222,1.000437,1.000122,1.000194,71594982811,447.630035,459.805573,445.038605,445.172607,2268650039,132.387863,136.182846,126.563972,126.862236,2239922210
2022-04-06,0.06947,0.069475,0.063256,0.063256,3230909,0.0,30.384781721422986,-100.0,-6311383.528845288,-8.441408059286692,88.83022047465244,-2.048653587079377,25,7,6,45544.355469,45544.355469,43193.953125,43206.738281,39393395788,3411.672119,3411.672119,3171.205078,3171.691895,25632563639,1.000199,1.000465,1.000086,1.000155,92098510461,445.001129,445.027649,418.881134,420.146362,2323241738,126.857956,127.281158,112.773682,112.883385,3281009143
2022-04-07,0.063255,0.064595,0.062893,0.064462,2418304,9.553093034583544,16.10390743419096,-90.44690696541646,-4271028.332605555,-6.449365802687705,92.24086297581108,-2.3406608390019104,23,10,2,43207.5,43860.699219,42899.90625,43503.847656,26101973106,3172.197266,3263.474609,3155.581055,3233.274658,16745496605,1.000149,1.000492,1.000093,1.000262,61906251582,420.182648,438.293701,417.601044,436.796783,2125042415,112.935799,119.760712,111.957466,118.796516,2431083313
2022-04-08,0.064462,0.064997,0.062354,0.062386,2177919,0.1886458763190314,3.247246303634192,-99.81135412368096,-6396209.225908624,-9.806416169093088,91.56675515073744,-9.700671607225567,12,13,7,43505.136719,43903.019531,42183.289063,42287.664063,27215995394,3233.272461,3301.607422,3179.142334,3192.073975,17557050669,1.000261,1.000547,1.000173,1.000288,64297486911,436.934509,440.642975,419.433289,421.677246,1951923760,118.816216,122.25412,108.541161,109.80088,2376864565
2022-04-09,0.062388,0.063838,0.062387,0.063827,1338307,8.68360549431112,6.141781468404566,-91.31639450568888,-5078193.57945792,-12.759355949810022,95.58721906656824,-7.370911096276086,6,2,1,42282.078125,42786.816406,42183.253906,42782.136719,16050772496,3191.976074,3261.963135,3187.469238,3261.91626,9908112156,1.000284,1.000581,1.000152,1.000372,40069848333,421.665344,428.020782,420.272552,427.153046,1399108286,109.798759,113.114891,108.634338,112.972794,1202250516
2022-04-10,0.063827,0.064246,0.062387,0.062447,1250991,0.5482520780522478,3.140167816227466,-99.45174792194776,-6248432.067354633,-15.315767347879738,95.71050096339114,-9.718226373086198,6,1,2,42781.089844,43376.378906,42021.207031,42207.671875,17654475582,3261.291504,3303.003174,3211.866943,3211.866943,10427054790,1.000354,1.000568,1.00024,1.000292,43341611560,427.14975,429.364105,418.590668,418.590668,1410282903,112.97271,115.808327,110.077835,111.742439,1280232450
2022-04-11,0.062447,0.06245,0.057949,0.058221,2338105,1.2729314863347128,3.50159635289936,-98.72706851366527,-8303948.949158674,-22.013261000602768,91.77560244016132,-20.42180366857112,16,9,1,42201.039063,42424.589844,39373.058594,39521.902344,33949912166,3209.576904,3214.461914,2962.756592,2981.052246,21891804831,1.000299,1.000607,1.000194,1.000348,73914574528,418.658447,419.490784,392.109924,394.086884,2192782724,111.69899,111.831139,98.670853,99.339104,2272498194
2022-04-12,0.058222,0.060214,0.057992,0.059939,1509135,9.31299138899288,3.7113916511266134,-90.68700861100712,-7168362.216485404,-18.265743038699643,96.55611246887496,-18.716860362620523,18,13,1,39533.714844,40617.585938,39388.328125,40127.183594,30991500854,2981.420654,3077.452637,2957.872314,3030.376465,20235707410,1.000351,1.000552,1.000178,1.000435,68489224153,394.288788,416.635803,393.166809,413.873932,2140526232,99.384674,109.117561,98.935303,103.306389,2317008207
2022-04-13,0.059939,0.061328,0.059543,0.061323,1147581,15.789966304754785,8.79196306002746,-84.21003369524522,-6027210.241695486,-16.15897842552842,99.22700847193168,-17.85814747840064,22,8,1,40123.570313,41430.054688,39712.746094,41166.730469,27691105228,3029.87793,3123.575439,3006.481689,3118.344238,16088473629,1.000442,1.000442,1.000128,1.000275,57894656914,413.812653,424.335938,411.059265,423.130157,1932053164,103.281013,105.676849,100.488457,105.001945,1675840412
2022-04-14,0.061323,0.061729,0.059608,0.060004,1189278,11.261508110477868,12.12148860140851,-88.73849188952214,-6772401.407183463,-15.334687888023485,98.1036886863624,-18.177107480841077,23,7,4,41160.21875,41451.480469,39695.746094,39935.515625,24342001973,3117.821777,3139.928711,2988.435303,3019.909424,15821419931,1.000276,1.000416,1.000054,1.000127,52908937427,423.067017,426.80722,412.047119,414.663727,1615484732,104.940605,107.329636,99.256844,100.707802,1686576071
2022-04-15,0.060004,0.062018,0.06,0.061926,885534,21.79416922402456,16.28188121308574,-78.20583077597544,-5967609.853169583,-10.85936375413848,101.354962858352,-15.334554701812907,17,8,6,39939.402344,40617.722656,39866.832031,40553.464844,21756855753,3020.134521,3044.287354,3001.123291,3040.916504,11256651536,1.00012,1.00044,1.00007,1.000239,42988969647,414.667114,419.796967,413.272614,417.293732,1242920077,100.706528,102.672646,100.100899,101.309776,1050639351
2022-04-16,0.061926,0.062051,0.06118,0.062044,633122,26.37511271415691,19.81026334955311,-73.62488728584309,-5344664.326189101,-1.916023776400665,101.97321462113528,-12.45625917146405,5,0,0,40552.316406,40633.679688,40078.425781,40424.484375,16833150693,3041.123291,3074.886963,3016.421143,3062.310303,8766710365,1.000237,1.000392,1.00013,1.000296,35315439111,417.293884,418.6586,411.912903,417.478455,1022481382,101.298691,103.271721,100.964722,102.257317,774939305
2022-04-17,0.062043,0.062695,0.060096,0.060099,904619,14.15125386691239,20.773511935031287,-85.84874613308762,-6247194.940656202,-6.768328627718664,99.32405632313085,-13.489275946451713,6,1,2,40417.777344,40570.726563,39620.894531,39716.953125,19087633042,3061.881836,3075.775879,2989.043945,2993.40332,10463091281,1.000291,1.000436,1.000144,1.000314,40964576376,417.41153,417.880676,406.168304,407.377716,1088306780,102.248436,105.294556,99.958176,100.409698,1057908299
2022-04-18,0.060099,0.061468,0.059089,0.061425,1532610,25.549430356486575,22.02526564585196,-74.45056964351342,-4769988.244565409,-1.540409707306121,100.75335082950603,-2.8945870747439075,16,15,0,39721.203125,40986.320313,38696.191406,40826.214844,33705182072,2993.483887,3062.520996,2893.912842,3057.606689,18629381299,1.000321,1.000504,1.000153,1.000218,68691204704,407.432922,417.94696,397.149658,416.968414,1925668122,100.407951,102.517029,95.242775,102.158531,1846133932
2022-04-19,0.061425,0.063404,0.061339,0.063299,749970,46.41679680721843,28.7058270102058,-53.583203192781575,-4096286.3801586344,-0.8272361226440234,103.01613503208408,-1.8041636933387284,16,8,2,40828.175781,41672.960938,40618.632813,41502.75,25303206547,3057.570313,3125.084229,3035.535156,3104.106445,14156035096,1.000214,1.000419,1.000155,1.000343,57975539645,417.00766,424.274017,415.099396,422.387054,1854452731,102.202385,108.582031,101.301727,108.582031,1711909607
2022-04-20,0.0633,0.063301,0.062025,0.062715,925011,67.62202043132814,46.52941586501105,-32.37797956867186,-4020893.6340771145,0.4291639310135064,101.7364522886965,0.5273619081204275,19,11,4,41501.746094,42126.300781,40961.097656,41374.378906,27819532341,3103.935059,3157.885742,3045.28833,3077.74585,15547362265,1.000351,1.000596,1.000153,1.000202,66021482830,422.364288,430.975159,415.728394,418.354248,2035166767,108.602196,110.722977,104.772659,105.497002,1761531528
