Date,Open,High,Low,Close,Volume,Stoch_%K,Stoch_%D,Williams_%R,A/D Oscillator,Momentum,Disparity Index 7,ROC,positive,negative,neutral,Open_BTC,High_BTC,Low_BTC,Close_BTC,Volume_BTC,Open_ETH,High_ETH,Low_ETH,Close_ETH,Volume_ETH,Open_USDT,High_USDT,Low_USDT,Close_USDT,Volume_USDT,Open_BNB,High_BNB,Low_BNB,Close_BNB,Volume_BNB,Open_SOL,High_SOL,Low_SOL,Close_SOL,Volume_SOL
2021-01-03,0.221744,0.237741,0.217167,0.225848,5109898871,12.983539304110591,13.014077579663171,-87.0164606958894,55953474548.46972,-33.14526417993067,99.7095628558328,-49.63786213786214,3,0,0,32129.408203,34608.558594,32052.316406,32782.023438,78665235202,774.511841,1006.565002,771.561646,975.50769,45200463368,1.000427,1.001902,0.999169,1.000514,120425679796,38.253727,41.606323,37.818104,41.148979,758008613,1.799902,2.364981,1.799902,2.161752,55073422
2021-01-04,0.226038,0.256477,0.219722,0.236677,6141918380,17.834979006136667,14.072736210440024,-82.16502099386332,55478062827.85755,-25.59456256228564,105.23922350818798,-8.478279363655346,0,0,0,32810.949219,33440.21875,28722.755859,31971.914063,81163475344,977.058838,1153.189209,912.305359,1040.233032,56945985763,1.0005,1.002994,0.99943,1.000128,125906387011,41.19828,43.132122,38.143982,40.926353,807877171,2.162412,2.485097,1.876342,2.485097,59955405
2021-01-05,0.236636,0.241251,0.221602,0.22675,5378491929,19.008548886081982,16.60902239877643,-80.99145111391802,52917879866.28511,-23.060740449182763,100.45580893745,-32.878257291626575,1,0,0,31977.041016,34437.589844,30221.1875,33992.429688,67547324782,1041.498779,1129.37146,986.811279,1100.006104,41535932781,1.000174,1.002832,0.999844,1.002202,101918715244,40.937279,41.7346,38.978954,41.7346,644270927,2.490982,2.502616,2.077742,2.157217,50555207
2021-01-06,0.226866,0.269158,0.223464,0.250895,7552726810,36.96518476760686,24.60290421994185,-63.03481523239314,54433251674.27039,-11.356738823978324,108.47067688212388,-21.124772470770953,0,0,0,34013.613281,36879.699219,33514.035156,36824.363281,75289433811,1101.005005,1209.428589,1064.233398,1207.112183,44699914188,1.002229,1.002825,0.999568,1.001528,116105139289,41.775536,42.192703,40.592529,42.165955,641021601,2.159626,2.185892,1.907585,1.929217,50263975
2021-01-07,0.250926,0.365296,0.24781,0.326002,15955049240,73.46529168205586,43.146341778581586,-26.53470831794413,59715749208.76404,31.47468522895006,132.269886875743,10.61676953510704,2,0,1,36833.875,40180.367188,36491.191406,39371.042969,84762141031,1208.078369,1282.57959,1167.443115,1225.678101,40468027280,1.001448,1.002573,0.99907,1.0004,129467601516,42.196625,44.470036,41.495869,43.44949,829964770,1.936586,2.611831,1.933043,2.372745,159870278
2021-01-08,0.326089,0.345916,0.291539,0.32323,9825829516,77.91405245058148,62.78150963341475,-22.08594754941852,61342937078.48065,46.283071297327155,124.93311916742545,14.19980992018769,0,0,0,39381.765625,41946.738281,36838.636719,40797.609375,88107519480,1225.967896,1273.827515,1076.081543,1224.197144,44334826666,1.000365,1.001178,0.999135,1.000045,131555961745,43.568687,43.590466,40.534481,42.395317,650561500,2.36874,3.77932,2.180929,3.219887,206412154
2021-01-09,0.323156,0.339859,0.307895,0.326916,7184429145,79.84931614732363,77.07622009332034,-20.150683852676355,62709066484.79118,54.33087221708178,119.41713222961953,31.84329604207163,0,0,0,40788.640625,41436.351563,38980.875,40254.546875,61984162837,1223.740479,1303.871826,1182.270386,1281.077271,33233105361,1.000014,1.003157,0.999637,1.002947,103292241007,42.373695,44.119743,41.590103,43.932854,590039660,3.223541,3.662788,2.938307,3.385382,91906875
2021-01-10,0.326833,0.365221,0.292159,0.318336,9647740012,75.34455149240019,77.70264003010179,-24.655448507599814,59974602602.492645,44.799541497229875,110.92917882563076,44.068210823580536,0,0,0,40254.21875,41420.191406,35984.628906,38356.441406,79980747690,1280.871094,1347.926147,1194.715576,1262.246704,40616938053,1.002924,1.002926,0.99854,1.000223,135437984723,43.944122,45.155418,40.594864,42.448475,701488832,3.390026,3.733551,3.196235,3.466111,62766977
2021-01-11,0.317941,0.317941,0.259468,0.288905,9787288503,59.89236867665977,71.69541210546122,-40.10763132334024,60041722515.7809,21.67289971530131,98.12235023779326,36.38659667277227,1,0,0,38346.53125,38346.53125,30549.599609,35566.65625,123320567399,1261.622925,1261.622925,924.922607,1090.145386,60733630300,1.000252,1.00109,0.993953,1.000587,180779058885,42.472622,42.477501,35.170883,38.371361,890728694,3.461065,3.513571,2.597124,3.10809,82877500
2021-01-12,0.288677,0.309924,0.27937,0.292123,6557418314,57.11497661552167,64.11729892819389,-42.88502338447832,58958334165.67709,31.791748437887723,96.1650803444496,32.876195154790175,0,0,0,35516.359375,36568.527344,32697.976563,33922.960938,74773277909,1088.526733,1149.240234,1012.76416,1043.43457,37494601692,1.000592,1.001289,0.999028,1.000414,117509616511,38.279518,39.930908,37.185501,38.11161,567249584,3.103688,3.844416,3.080035,3.613398,73484689
2021-01-13,0.292028,0.308798,0.286889,0.30558,4831812051,62.40280549766733,59.80338359661627,-37.59719450233266,62370750426.80827,35.303389890545866,98.07289192752988,28.695608227624213,1,0,0,33915.121094,37599.960938,32584.667969,37316.359375,69364315979,1043.740967,1134.338501,994.549072,1130.73938,30109792795,1.000491,1.00106,0.999226,1.000017,98217076295,38.109425,40.401543,37.143784,40.135933,542384725,3.628383,3.628825,3.274921,3.513782,57994893
2021-01-14,0.305536,0.308343,0.284211,0.295438,5277189444,53.26598876103825,57.5945902914091,-46.73401123896176,62003805130.64417,24.8275075313613,96.1654998214392,33.28731587376779,0,0,0,37325.109375,39966.40625,36868.5625,39187.328125,63615990033,1130.231201,1244.163086,1093.060791,1218.453003,33410915929,1.00002,1.00087,0.998922,0.998964,97567813514,40.118828,41.8731,39.656357,41.793682,534108764,3.516036,3.542866,3.181974,3.278164,59283112
2021-01-15,0.295569,0.301757,0.264747,0.280406,4955409029,43.209793952368194,52.95952940369127,-56.790206047631806,61241681699.32647,23.663065049614104,93.12702352892056,24.156955120257873,1,0,0,39156.707031,39577.710938,34659.589844,36825.367188,67760757881,1221.877197,1250.505859,1090.721069,1171.834595,35972039310,0.998977,1.000167,0.998564,0.999845,112214718054,41.794952,42.41106,39.095463,40.91898,562019413,3.280399,3.435922,2.985191,3.250161,45331739
2021-01-16,0.280292,0.295191,0.27701,0.280188,4116256007,42.544673899101454,46.34015220416931,-57.455326100898546,58564451223.402435,11.675402060622975,95.1644269511144,18.384126890234366,0,0,0,36821.648438,37864.367188,35633.554688,36178.140625,57706187875,1171.443115,1290.053589,1157.623779,1233.537598,32319240157,0.999835,1.001532,0.999424,1.000195,101603530718,40.919434,43.917919,40.733822,43.171825,604218252,3.248934,3.703232,3.248934,3.447055,68035606
2021-01-17,0.280067,0.285268,0.270652,0.277384,3488557208,39.61009520930937,41.78818768692635,-60.38990479069064,58289491049.37288,-14.91340543923043,96.12202627295518,22.33031973539141,0,0,0,36163.648438,36722.351563,34069.320313,35791.277344,52359854336,1233.453369,1265.644653,1174.38855,1230.172241,29258032819,1.000227,1.000723,0.999212,1.000414,91132972168,43.156139,46.654545,41.091473,45.684612,664875513,3.43487,3.965372,3.319746,3.818139,85407766
